epoch,negative_sampling_loss,dirichlet_prior_loss
453,29.306,-82383.289
454,29.313,-82506.773
455,29.297,-82630.289
456,29.307,-82753.906
457,29.303,-82877.375
458,29.278,-83000.891
459,29.265,-83124.586
460,29.250,-83247.992
461,29.291,-83371.789
462,29.269,-83495.234
463,29.287,-83618.766
464,29.245,-83742.383
465,29.221,-83865.891
466,29.262,-83989.414
467,29.243,-84113.047
468,29.230,-84236.617
469,29.203,-84360.234
470,29.241,-84484.078
471,29.247,-84607.547
472,29.206,-84731.156
473,29.217,-84854.906
474,29.255,-84978.523
475,29.199,-85102.047
476,29.253,-85225.734
477,29.251,-85349.500
478,29.214,-85473.148
479,29.199,-85596.797
480,29.235,-85720.477
481,29.192,-85844.227
482,29.280,-85967.805
483,29.219,-86091.555
484,29.210,-86215.109
485,29.183,-86338.844
486,29.182,-86462.523
487,29.179,-86586.273
488,29.192,-86709.906
489,29.162,-86833.742
490,29.181,-86957.398
491,29.153,-87081.164
492,29.204,-87204.773
493,29.169,-87328.383
494,29.183,-87452.211
495,29.157,-87575.875
496,29.140,-87699.773
497,29.129,-87823.477
498,29.193,-87947.055
499,29.168,-88070.977
500,29.172,-88194.664
